#OTU ID	CEN01	CEN02	CEN03	CEN04	CEN06	CEN07	CEN08	CEN09	CEN10	CEN11	CEN12	CEN13	CEN14	CEN15	CEN16	CEN17	CL1a	CL1b	CL1c	CL1d	CL4a	CL4b	CL4c	CL4d	HEV079a	HEV079d	HEV081a	HEV081d	HEV082a	HEV082d
Zotu976	0	0	0	0	0	0	123	0	0	0	59	0	91	47	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu160	0	0	0	0	0	0	16	0	0	0	5	0	3	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1178	0	0	0	0	0	0	95	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu524	0	0	0	0	0	0	142	0	0	0	9	0	8	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu839	0	0	0	0	0	0	63	0	0	0	50	0	66	40	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu188	0	0	0	0	0	0	269	0	0	0	169	0	1	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1096	0	0	0	0	0	0	142	0	0	0	33	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu241	0	0	0	0	0	0	260	0	0	0	202	0	273	189	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu434	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu202	0	0	0	0	0	0	537	0	0	1	250	0	283	207	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1179	0	0	0	0	0	0	75	0	0	0	27	0	3	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu174	0	0	0	0	0	0	531	0	0	0	276	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu975	0	0	0	0	0	0	130	0	0	0	82	0	4	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu185	0	0	0	0	0	0	274	0	0	0	230	0	18	149	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1180	0	0	0	0	0	0	29	0	0	0	9	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu292	0	0	0	0	0	0	92	0	0	0	16	0	0	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu525	0	0	0	0	0	0	398	0	0	0	200	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu980	0	0	0	0	0	0	77	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu335	0	0	0	0	0	0	167	0	0	0	90	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu122	0	0	0	0	0	0	30	0	0	0	7	0	13	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu570	0	0	0	0	0	0	5	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu811	0	0	0	0	0	0	255	0	0	0	16	0	10	41	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu479	0	0	0	0	0	0	177	0	0	0	88	0	10	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu433	0	0	0	0	0	0	111	0	0	0	66	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu948	0	0	0	0	0	0	32	0	0	0	5	0	6	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1042	0	0	0	0	0	0	11	0	0	0	35	0	16	38	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu729	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1109	0	0	0	0	0	0	31	0	0	0	22	0	13	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu146	0	0	0	0	0	0	4	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu289	0	0	0	0	0	0	16	0	0	0	86	0	61	75	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1064	0	0	0	0	0	0	14	0	0	0	16	0	26	57	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu709	0	0	0	0	0	0	28	0	0	0	12	0	24	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu331	0	0	0	0	0	0	106	0	0	0	1	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu665	0	0	0	0	0	0	93	0	0	0	49	0	36	41	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu318	0	0	0	0	0	0	1	0	0	0	0	0	92	94	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu966	0	0	0	0	0	0	47	0	0	0	0	0	15	47	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu178	0	0	0	0	0	0	23	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu328	0	0	0	0	0	0	13	0	0	0	7	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu601	0	0	0	0	0	0	22	0	0	0	254	0	0	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu250	0	0	0	0	0	0	7	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu769	0	0	0	0	0	0	5	0	0	0	22	0	15	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu209	0	0	0	0	0	0	5	0	0	0	2	0	5	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu281	0	0	0	0	0	0	12	0	0	0	4	0	3	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu367	0	0	0	0	0	0	11	0	0	0	1	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1150	0	0	0	0	0	0	9	0	0	0	9	0	7	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu273	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu480	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu326	0	0	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1037	0	0	0	0	0	0	2	0	0	0	1	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu921	0	0	0	0	0	0	2	0	1	0	25	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu588	0	0	0	0	0	0	4	0	0	0	42	0	31	44	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu874	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu619	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu233	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu669	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu430	0	0	0	0	0	0	2	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu603	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu564	0	0	0	0	0	0	4	0	0	0	2	0	286	294	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu770	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu184	0	0	0	0	0	0	6	0	0	1	1	0	409	368	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu383	0	0	0	0	0	0	1	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
