#OTU ID	HEV099	HEV100	HEV101	HEV102	HEV103	HEV104	HEV105	HEV106	HEV107	HEV108	HEV109	HEV110	HEV111	ISO01	ISO02	ISO04	ISO05	ISO06	ISO07	ISO08	ISO09	ISO10	ISO11	ISO12	ISO13	ISO14	ISO15
Zotu805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Zotu757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0
Zotu9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	1	0	1	2	2	3	0	4	4	1
Zotu315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	166	0	0	0	0	0	0	0	0	0	0	1
Zotu888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	1	0	0	7	4	3
Zotu1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0
Zotu52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Zotu1132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	4	1	0	1	1	0	0	0
Zotu538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Zotu405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	3	0	6	0	6	0	0	0
Zotu182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0
Zotu678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0
Zotu718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	1	0	0	0	0	0
Zotu1197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
Zotu1072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
Zotu164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Zotu98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	1	0	0	0
Zotu861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
Zotu889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
Zotu794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	7	0	2	0	0	0	0	0	0
Zotu774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
Zotu700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
Zotu345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0
Zotu526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Zotu215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	0	2	1	0
Zotu1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	3	0	0	0	0	0	0
Zotu606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Zotu840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
Zotu693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Zotu891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
Zotu23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
Zotu936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	1	0	0	13	0	0
Zotu1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
Zotu899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	14	2	0	1	11	0	0	0
Zotu574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	3	0	1	0	9	0	11
Zotu595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Zotu851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Zotu18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	0	0	0
Zotu1156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Zotu225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0
Zotu477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0
Zotu494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0
Zotu945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Zotu25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
Zotu904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Zotu1157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	1
Zotu837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Zotu1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
Zotu290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Zotu814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	1
Zotu759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Zotu63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
