"","food.web","interaction","consumer","resource","pred_mass","prey_mass"
"143",7,1,862,666,0.024170828,0.010170915
"144",18,1,862,666,0.024170828,0.010170915
"145",18,0,869,666,0.00562436,0.010170915
"146",10,0,686,666,0.003268488,0.010170915
"147",26,0,871,666,0.076356983,0.010170915
"148",18,0,872,666,0.047408357,0.010170915
"149",48,1,874,666,0.04513035,0.010170915
"150",48,0,876,666,0.004797706,0.010170915
"151",10,1,877,666,0.01437593,0.010170915
"152",18,1,877,666,0.01437593,0.010170915
"153",14,1,877,666,0.01437593,0.010170915
"154",26,1,878,666,0.024923381,0.010170915
"155",18,1,880,666,0.052146163,0.010170915
"156",10,1,880,666,0.052146163,0.010170915
"157",1,1,880,666,0.052146163,0.010170915
"158",26,1,880,666,0.052146163,0.010170915
"159",1,0,687,666,0.003268488,0.010170915
"160",10,0,687,666,0.003268488,0.010170915
"161",18,0,687,666,0.003268488,0.010170915
"162",48,0,687,666,0.003268488,0.010170915
"163",14,0,687,666,0.003268488,0.010170915
"164",26,0,687,666,0.003268488,0.010170915
"165",7,0,687,666,0.003268488,0.010170915
"166",14,1,883,666,0.052921151,0.010170915
"167",48,0,885,666,0.051995653,0.010170915
"168",7,0,887,666,0.177067022,0.010170915
"169",48,0,889,666,0.060567903,0.010170915
"170",18,0,894,666,0.004906739,0.010170915
"171",14,0,895,666,0.006461376,0.010170915
"172",48,0,895,666,0.006461376,0.010170915
"173",1,0,895,666,0.006461376,0.010170915
"174",26,0,895,666,0.006461376,0.010170915
"175",10,0,895,666,0.006461376,0.010170915
"176",18,1,897,666,0.26662473,0.010170915
"177",18,0,900,666,0.006118864,0.010170915
"178",26,0,900,666,0.006118864,0.010170915
"179",14,0,689,666,0.008992619,0.010170915
"180",7,0,689,666,0.008992619,0.010170915
"181",10,0,903,666,0.037021367,0.010170915
"182",1,0,903,666,0.037021367,0.010170915
"183",26,0,903,666,0.037021367,0.010170915
"184",48,0,903,666,0.037021367,0.010170915
"185",14,0,903,666,0.037021367,0.010170915
"186",7,0,906,666,0.011640533,0.010170915
"187",26,0,906,666,0.011640533,0.010170915
"188",14,0,906,666,0.011640533,0.010170915
"189",10,0,906,666,0.011640533,0.010170915
"190",7,0,909,666,0.085350783,0.010170915
"191",1,0,910,666,0.039537565,0.010170915
"192",48,0,690,666,0.008992619,0.010170915
"193",7,0,690,666,0.008992619,0.010170915
"194",26,0,690,666,0.008992619,0.010170915
"195",48,0,912,666,0.013359483,0.010170915
"196",10,0,912,666,0.013359483,0.010170915
"197",48,0,913,666,0.007911829,0.010170915
"198",26,0,914,666,0.003522348,0.010170915
"199",18,0,914,666,0.003522348,0.010170915
"200",1,1,915,666,0.040290103,0.010170915
"201",10,1,915,666,0.040290103,0.010170915
"202",10,1,916,666,0.023854961,0.010170915
"203",1,1,916,666,0.023854961,0.010170915
"204",26,1,919,666,0.032972737,0.010170915
