"","ASV","unique_ID","Domain","Phylum","Class","Order","Family","Genus","Species","Class_bold","Order_bold","Family_bold","Genus_bold","Species_bold","ID_bold","ID_level_bold","ID_level"
"516","ASV_609","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"517","ASV_643","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"518","ASV_690","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"519","ASV_725","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"520","ASV_730","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"521","ASV_789","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"522","ASV_817","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"523","ASV_818","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"524","ASV_851","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"525","ASV_893","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"526","ASV_985","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"527","ASV_989","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"528","ASV_1104","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"529","ASV_1195","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"530","ASV_271","Lepidodactylus","d__Eukaryota","p__Chordata","Reptilia","o__Squamata","f__Gekkonidae","g__Lepidodactylus","","Reptilia","Squamata","Gekkonidae","Lepidodactylus","Lepidodactylus lugubris","Lepidodactylus lugubris","Species","Genus"
"531","ASV_1350","Eukaryota","d__Eukaryota","Arthropoda","Insecta","","","","","Insecta","","","","","Psocodea","Class","Class"
"532","ASV_664","Arthropoda","d__Eukaryota","p__Arthropoda","Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"533","ASV_6","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"534","ASV_40","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"535","ASV_86","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"536","ASV_150","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"537","ASV_253","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","Scytodidae","Scytodes","Scytodes longipes","Scytodes longipes","Species","Order"
"538","ASV_264","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"539","ASV_367","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"540","ASV_419","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"541","ASV_509","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"542","ASV_525","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"543","ASV_598","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"544","ASV_619","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"545","ASV_637","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"546","ASV_649","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"547","ASV_675","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"548","ASV_743","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"549","ASV_819","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"550","ASV_1010","Arachnida","d__Eukaryota","p__Arthropoda","c__Arachnida","Araneae","","","","Arachnida","Araneae","","","","Araneae","Order","Order"
"551","ASV_793","Acaridae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Sarcoptiformes","f__Acaridae","","","Arachnida","Sarcoptiformes","Acaridae","Tyrophagus","Tyrophagus putrescentiae","Tyrophagus putrescentiae","Species","Family"
"552","ASV_997","Dermatophagoides farinae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Sarcoptiformes","f__Pyroglyphidae","g__Dermatophagoides","s__Dermatophagoides farinae","Arachnida","Sarcoptiformes","Pyroglyphidae","Dermatophagoides","","Dermatophagoides sp. WH_1","Genus","Species"
"553","ASV_1636","Dermatophagoides farinae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Sarcoptiformes","f__Pyroglyphidae","g__Dermatophagoides","s__Dermatophagoides farinae","Arachnida","Sarcoptiformes","Pyroglyphidae","Dermatophagoides","","Dermatophagoides sp. WH_1","Genus","Species"
"554","ASV_706","Araneae","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","","","","Arachnida","Araneae","Araneidae","Neoscona","Neoscona theisi","Neoscona theisi","Species","Order"
"555","ASV_716","Neoscona","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Araneidae","g__Neoscona","","Arachnida","Araneae","Araneidae","Neoscona","Neoscona theisi","Neoscona theisi","Species","Genus"
"556","ASV_14","Theridion","d__Eukaryota","p__Arthropoda","c__Arachnida","o__Araneae","f__Theridiidae","g__Theridion","","Arachnida","Araneae","Theridiidae","Theridion","Theridion melanostictum","Theridion melanostictum","Species","Genus"
