ID_bold,ZOTU,Phylum_bold,Class_bold,Order_bold,Family_bold,Genus_bold,Species_bold,Notes
Mus musculus,Zotu60,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
Mus musculus,Zotu456,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
Mus musculus,Zotu877,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
Neoscona theisi,Zotu3,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,
Neoscona theisi,Zotu10,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,
Neoscona theisi,Zotu19,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,
Neoscona theisi,Zotu563,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,
Neoscona theisi,Zotu913,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona theisi,
Neurospora crassa,Zotu267,,,,,,,non-diet
Nylanderia bourbonica,Zotu42,Arthropoda,Insecta,Hymenoptera,Formicidae,Nylanderia,Nylanderia bourbonica,
Nylanderia sp. CHR01,Zotu649,Arthropoda,Insecta,Hymenoptera,Formicidae,Nylanderia,,
Nylanderia vividula,Zotu238,Arthropoda,Insecta,Hymenoptera,Formicidae,Nylanderia,Nylanderia vividula,
Ornebius novarae,Zotu1199,Arthropoda,Insecta,Orthoptera,Gryllidea,Ornebius,Ornebius novarae,
Orthoptera,Zotu2,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu44,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu46,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu52,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu55,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu65,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu71,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu74,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu79,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu81,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu85,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu88,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu89,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu99,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu105,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu107,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu124,Arthropoda,Insecta,Orthoptera,,,,
