Morphospecies,Order,Present in Vials,Species_Stage_Name,Stage_Name,Group,Specialist,Standard_Sorting_Name,Barcode_Status,Authority,Phylum,Subphylum,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,specific_epithet,subspecies,Body_Length_Mean_mm,Body_Mass_Mean_mg,Body_Mass_SD_mg,Body_Mass_N,Body_Mass_Source,Body_Mass_Proxy,Body_Mass_Notes
Phymatosorus_scolopendria,26,#N/A,Phymatosorus_scolopendria_Adult,Adult,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Phymatosorus_scolopendria,26,#N/A,Phymatosorus_scolopendria_Flower,Flower,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Phymatosorus_scolopendria,26,#N/A,Phymatosorus_scolopendria_Leaves,Leaves,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Phymatosorus_scolopendria,26,#N/A,Phymatosorus_scolopendria_Nectar,Nectar,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Phymatosorus_scolopendria,26,#N/A,Phymatosorus_scolopendria_Pollen,Pollen,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Phymatosorus_scolopendria,26,#N/A,Phymatosorus_scolopendria_Root,Root,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Phymatosorus_scolopendria,26,#N/A,Phymatosorus_scolopendria_Seed,Seed,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Phymatosorus_scolopendria,26,#N/A,Phymatosorus_scolopendria_Stem,Stem,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Phymatosorus_scolopendria,26,,Phymatosorus_scolopendria_Seedling,Seedling,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Barringtonia_asiatica,27,#N/A,Barringtonia_asiatica_Adult,Adult,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Barringtonia_asiatica,27,#N/A,Barringtonia_asiatica_Flower,Flower,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Barringtonia_asiatica,27,#N/A,Barringtonia_asiatica_Leaves,Leaves,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Barringtonia_asiatica,27,#N/A,Barringtonia_asiatica_Nectar,Nectar,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Barringtonia_asiatica,27,#N/A,Barringtonia_asiatica_Pollen,Pollen,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Barringtonia_asiatica,27,#N/A,Barringtonia_asiatica_Root,Root,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Barringtonia_asiatica,27,#N/A,Barringtonia_asiatica_Seed,Seed,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
