"","Order","Family","Genus","Species","Length_mm","Mass_mg","Source","Class"
"2872","Hymenoptera","Formicidae",NA,NA,5.71,7.55,"Sohlstrom et al. 2018",""
"2873","Hymenoptera","Formicidae",NA,NA,4.97,3.58,"Sohlstrom et al. 2018",""
"2874","Hymenoptera","Formicidae",NA,NA,4.19,2.52,"Sohlstrom et al. 2018",""
"2875","Hymenoptera","Formicidae",NA,NA,2.07,0.53,"Sohlstrom et al. 2018",""
"2876","Hymenoptera","Formicidae",NA,NA,5.77,6.64,"Sohlstrom et al. 2018",""
"2877","Hymenoptera","Formicidae",NA,NA,5.07,4.24,"Sohlstrom et al. 2018",""
"2878","Hymenoptera","Formicidae",NA,NA,3.39,1.41,"Sohlstrom et al. 2018",""
"2879","Hymenoptera","Formicidae",NA,NA,3.25,1.12,"Sohlstrom et al. 2018",""
"2880","Hymenoptera","Formicidae",NA,NA,3.55,1.46,"Sohlstrom et al. 2018",""
"2881","Hymenoptera","Formicidae",NA,NA,5.79,5.43,"Sohlstrom et al. 2018",""
"2882","Hymenoptera","Formicidae",NA,NA,2.92,1.04,"Sohlstrom et al. 2018",""
"2883","Hymenoptera","Formicidae",NA,NA,3.09,0.65,"Sohlstrom et al. 2018",""
"2884","Hymenoptera","Formicidae",NA,NA,17.73,223.23,"Sohlstrom et al. 2018",""
"2885","Hymenoptera","Formicidae",NA,NA,4.57,2.97,"Sohlstrom et al. 2018",""
"2886","Hymenoptera","Formicidae",NA,NA,4.63,3.09,"Sohlstrom et al. 2018",""
"2887","Hymenoptera","Formicidae",NA,NA,4.72,2.49,"Sohlstrom et al. 2018",""
"2888","Hymenoptera","Formicidae",NA,NA,10.59,30.09,"Sohlstrom et al. 2018",""
"2889","Hymenoptera","Formicidae",NA,NA,4.58,2.25,"Sohlstrom et al. 2018",""
"2890","Hymenoptera","Formicidae",NA,NA,15.59,102.93,"Sohlstrom et al. 2018",""
"2891","Hymenoptera","Formicidae",NA,NA,4.39,1.74,"Sohlstrom et al. 2018",""
"2892","Hymenoptera","Formicidae",NA,NA,1.38,0.03,"Sohlstrom et al. 2018",""
"2893","Hymenoptera","Formicidae",NA,NA,1.77,0.3,"Sohlstrom et al. 2018",""
"2894","Hymenoptera","Formicidae",NA,NA,1.45,0.19,"Sohlstrom et al. 2018",""
"2895","Hymenoptera","Formicidae",NA,NA,2.89,0.78,"Sohlstrom et al. 2018",""
"2896","Hymenoptera","Formicidae",NA,NA,3.63,1.35,"Sohlstrom et al. 2018",""
"2897","Hymenoptera","Formicidae",NA,NA,3.09,1.03,"Sohlstrom et al. 2018",""
"2898","Hymenoptera","Formicidae",NA,NA,3.37,0.91,"Sohlstrom et al. 2018",""
"2899","Hymenoptera","Formicidae",NA,NA,4.13,1.19,"Sohlstrom et al. 2018",""
"2900","Hymenoptera","Formicidae",NA,NA,1.61,0.09,"Sohlstrom et al. 2018",""
"2901","Hymenoptera","Formicidae",NA,NA,3.13,1.03,"Sohlstrom et al. 2018",""
"2902","Hymenoptera","Formicidae",NA,NA,3.37,1.11,"Sohlstrom et al. 2018",""
"2903","Hymenoptera","Formicidae",NA,NA,3.41,1.15,"Sohlstrom et al. 2018",""
"2904","Hymenoptera","Formicidae",NA,NA,8.78,18.33,"Sohlstrom et al. 2018",""
"2905","Hymenoptera","Formicidae",NA,NA,4.49,1.98,"Sohlstrom et al. 2018",""
"2906","Hymenoptera","Formicidae",NA,NA,3.86,1.58,"Sohlstrom et al. 2018",""
"2907","Hymenoptera","Formicidae",NA,NA,3.68,1.14,"Sohlstrom et al. 2018",""
"2908","Hymenoptera","Formicidae",NA,NA,3.36,1.71,"Sohlstrom et al. 2018",""
"2909","Hymenoptera","Formicidae",NA,NA,3.42,1.11,"Sohlstrom et al. 2018",""
"2910","Hymenoptera","Formicidae",NA,NA,3.29,1.24,"Sohlstrom et al. 2018",""
"2911","Hymenoptera","Formicidae",NA,NA,17.08,117.34,"Sohlstrom et al. 2018",""
"2912","Hymenoptera","Formicidae",NA,NA,3.65,1.8,"Sohlstrom et al. 2018",""
"2913","Hymenoptera","Formicidae",NA,NA,1.89,0.18,"Sohlstrom et al. 2018",""
"2914","Hymenoptera","Formicidae",NA,NA,3.14,0.91,"Sohlstrom et al. 2018",""
"2915","Hymenoptera","Formicidae",NA,NA,17.51,105.27,"Sohlstrom et al. 2018",""
"2916","Hymenoptera","Formicidae",NA,NA,3.41,0.8,"Sohlstrom et al. 2018",""
"2917","Hymenoptera","Formicidae",NA,NA,5.15,3.14,"Sohlstrom et al. 2018",""
"2918","Hymenoptera","Formicidae",NA,NA,1.89,0.15,"Sohlstrom et al. 2018",""
"2919","Hymenoptera","Formicidae",NA,NA,3.28,0.97,"Sohlstrom et al. 2018",""
"2920","Hymenoptera","Formicidae",NA,NA,4.29,1.46,"Sohlstrom et al. 2018",""
"2921","Hymenoptera","Formicidae",NA,NA,3.18,1.47,"Sohlstrom et al. 2018",""
"2922","Hymenoptera","Formicidae",NA,NA,6.65,6.68,"Sohlstrom et al. 2018",""
"2923","Hymenoptera","Formicidae",NA,NA,5.2,2.34,"Sohlstrom et al. 2018",""
"2924","Hymenoptera","Formicidae",NA,NA,3.95,1.4,"Sohlstrom et al. 2018",""
"2925","Hymenoptera","Formicidae",NA,NA,3.54,1.03,"Sohlstrom et al. 2018",""
"2926","Hymenoptera","Formicidae",NA,NA,17.93,117.26,"Sohlstrom et al. 2018",""
"2927","Hymenoptera","Formicidae",NA,NA,6.51,7.88,"Sohlstrom et al. 2018",""
"2928","Hymenoptera","Formicidae",NA,NA,5.15,4.81,"Sohlstrom et al. 2018",""
"2929","Hymenoptera","Formicidae",NA,NA,3.21,1.14,"Sohlstrom et al. 2018",""
"2930","Hymenoptera","Formicidae",NA,NA,1.46,0.03,"Sohlstrom et al. 2018",""
"2931","Hymenoptera","Formicidae",NA,NA,2.09,0.29,"Sohlstrom et al. 2018",""
"2932","Hymenoptera","Formicidae",NA,NA,6.5,7.32,"Sohlstrom et al. 2018",""
"2933","Hymenoptera","Formicidae",NA,NA,3.54,1.13,"Sohlstrom et al. 2018",""
"2934","Hymenoptera","Formicidae",NA,NA,3.19,0.67,"Sohlstrom et al. 2018",""
"2935","Hymenoptera","Formicidae",NA,NA,3.93,1.33,"Sohlstrom et al. 2018",""
"2936","Hymenoptera","Formicidae",NA,NA,3.73,1.58,"Sohlstrom et al. 2018",""
"2937","Hymenoptera","Formicidae",NA,NA,3.16,0.77,"Sohlstrom et al. 2018",""
"2938","Hymenoptera","Formicidae",NA,NA,1.6,0.03,"Sohlstrom et al. 2018",""
"2939","Hymenoptera","Formicidae",NA,NA,4.18,1.42,"Sohlstrom et al. 2018",""
"2940","Hymenoptera","Formicidae",NA,NA,13.09,37.58,"Sohlstrom et al. 2018",""
"2941","Hymenoptera","Formicidae",NA,NA,1.36,0.13,"Sohlstrom et al. 2018",""
"2942","Hymenoptera","Formicidae",NA,NA,3.74,1.15,"Sohlstrom et al. 2018",""
"2943","Hymenoptera","Formicidae",NA,NA,19.51,142.92,"Sohlstrom et al. 2018",""
"2944","Hymenoptera","Formicidae",NA,NA,1.28,0.28,"Sohlstrom et al. 2018",""
"2945","Hymenoptera","Formicidae",NA,NA,18.28,95.93,"Sohlstrom et al. 2018",""
"2946","Hymenoptera","Formicidae",NA,NA,3.8,1.75,"Sohlstrom et al. 2018",""
"2947","Hymenoptera","Formicidae",NA,NA,3.63,1.1,"Sohlstrom et al. 2018",""
"2948","Hymenoptera","Formicidae",NA,NA,12.14,43.29,"Sohlstrom et al. 2018",""
"2949","Hymenoptera","Formicidae",NA,NA,8.83,13.71,"Sohlstrom et al. 2018",""
