"","sample","unique_ID","pred_ID","Phylum_prey","Class_prey","Order_prey","Family_prey","Genus_prey","Species_prey","ID_level","reads"
"110","CEN10b","Sparassidae","Geophilomorpha","Arthropoda","Arachnida","Araneae","Sparassidae","","","Family",0
"111","CEN10b","Styringomyia didyma","Geophilomorpha","Arthropoda","Insecta","Diptera","Limoniidae","Styringomyia","Styringomyia didyma","Species",0
"112","CEN10b","Suidasia","Geophilomorpha","Arthropoda","Arachnida","Sarcoptiformes","Suidasiidae","Suidasia","","Genus",0
"113","CEN10b","Sula sula","Geophilomorpha","Chordata","Aves","Pelecaniformes","Sulidae","Sula","Sula sula","Species",0
"114","CEN10b","Theridion","Geophilomorpha","Arthropoda","Arachnida","Araneae","Theridiidae","Theridion","","Genus",0
"115","CEN10b","Thysanoptera","Geophilomorpha","Arthropoda","Insecta","Thysanoptera","","","","Order",0
"116","CEN11b","Acaridae","Geophilomorpha","Arthropoda","Arachnida","Sarcoptiformes","Acaridae","","","Family",0
"117","CEN11b","Acrididae","Geophilomorpha","Arthropoda","Insecta","Orthoptera","Acrididae","","","Family",0
"118","CEN11b","Agromyzidae","Geophilomorpha","Arthropoda","Insecta","Diptera","Agromyzidae","","","Family",0
"119","CEN11b","Aleyrodidae","Geophilomorpha","Arthropoda","Insecta","Hemiptera","Aleyrodidae","","","Family",0
"120","CEN11b","Anisolabis","Geophilomorpha","Arthropoda","Insecta","Dermaptera","Anisolabididae","Anisolabis","","Genus",0
"121","CEN11b","Arachnida","Geophilomorpha","Arthropoda","Arachnida","","","","","Class",0
"122","CEN11b","Arachnida","Geophilomorpha","Arthropoda","Arachnida","Araneae","","","","Order",1
"123","CEN11b","Araneae","Geophilomorpha","Arthropoda","Arachnida","Araneae","","","","Order",0
"124","CEN11b","Arthropoda","Geophilomorpha","Arthropoda","","","","","","Phylum",245
"125","CEN11b","Arthropoda","Geophilomorpha","Arthropoda","Arachnida","Araneae","","","","Order",0
"126","CEN11b","Arthropoda","Geophilomorpha","Arthropoda","Entognatha","Entomobryomorpha","","","","Order",0
"127","CEN11b","Arthropoda","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","","","","Order",0
"128","CEN11b","Arthropoda environmental sample","Geophilomorpha","Arthropoda","","","","","Arthropoda environmental sample","Species",0
"129","CEN11b","Bdelloidea","Geophilomorpha","Rotifera","Bdelloidea","","","","","Class",0
"130","CEN11b","Blattodea","Geophilomorpha","Arthropoda","Insecta","Blattodea","","","","Order",0
"131","CEN11b","Bourletiellidae","Geophilomorpha","Arthropoda","Collembola","Symphypleona","Bourletiellidae","","","Family",0
