#OTU ID	EUB01	EUB02	EUB03	EUB04	EUB05	EUB06	EUB07	EUB08	EUB09	EUB10	EUB12	EUB13	EUB15	EUB16	EUB18	EUB19	EUB20	EUB21	EUB23	EUB24	EUB25	EUB26	EUB27	EUB28	EUB29	HEV083a	HEV083d	HEV087a	HEV087d	HEV088a
Zotu629	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0
Zotu981	0	0	0	3	0	11	0	8	0	0	0	0	0	0	17	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
Zotu389	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu572	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu107	0	0	0	0	5	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu152	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Zotu58	0	0	0	0	1	0	0	2	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu750	0	0	0	0	0	4	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu368	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Zotu140	0	0	0	0	0	0	439	0	0	1	3	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0
Zotu12	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1127	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu71	0	0	0	0	0	0	2	0	0	0	2	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
