#OTU ID	PHH043	PHH044	PHH045	PHH046	PHH047	PHH049	PHH050	PHH051	PHH052	PHH053	PHH054	PHH055	PHH056	PHH057	PHH058	PHH059	PHH060	PHH061	PHH062	PHH063	PHH065	PHH066	PHH067	PHH068	PHH069	PHH070	PHH071	PHH072	PHH073	PHH074	PHH075	QC1a	QC1b	QC1c	QC1d	SCY03	SCY04	SCY07	SCY08	SCY09	SCY10	SCY12	SCY15	SCY16	SCY17
Zotu484	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0
Zotu313	7	8	32	9	39	10	3	19	5	2	2	7	22	14	9	8	22	11	9	45	2	20	4	5	5	7	11	10	16	16	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1104	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu329	6	0	2	4	8	8	10	12	8	4	1	5	5	6	6	9	13	7	18	6	1	6	5	9	5	2	15	8	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu80	4	0	4	1	479	328	0	10	37	0	1505	46	0	0	5	11	18	0	2	0	8	84	0	0	0	1	89	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu677	1	0	0	1	0	0	0	0	6	0	0	0	4	4	0	1	0	2	0	18	0	3	2	1	7	3	6	0	4	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu531	2	2	4	0	7	4	11	10	7	1	0	0	1	5	1	8	1	0	0	2	0	1	3	0	3	0	14	5	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu786	4	0	0	2	0	0	1	17	3	0	0	1	6	1	2	7	0	2	0	1	0	2	5	0	0	0	0	1	2	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu22	1	0	0	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu119	1	0	0	0	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1057	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu789	1	0	3	0	0	1	0	1	0	0	0	0	0	2	1	4	0	0	0	0	0	0	1	0	0	12	4	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu124	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu277	0	22	4	18	21	32	0	93	30	2	2	2	0	7	4	27	0	0	0	26	0	22	23	0	13	16	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu299	0	5	0	1	0	0	0	0	3	0	0	0	1	1	7	11	0	0	0	107	2	0	2	0	0	0	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu332	0	5	8	3	7	5	8	17	4	1	5	3	2	1	6	8	3	2	1	4	3	2	5	3	0	5	7	3	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu788	0	5	0	0	0	0	0	5	0	0	0	0	9	3	1	4	0	4	0	0	0	13	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu170	0	41	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu306	0	1	2	0	1	1	2	3	1	0	0	0	2	0	0	1	2	1	0	2	0	0	0	1	0	0	4	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu532	0	2	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu585	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu923	0	0	5	0	0	0	0	1	4	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu309	0	0	2	0	1	9	2	10	9	8	1	0	3	12	19	3	2	4	0	14	0	21	2	11	2	10	6	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu246	0	0	3	0	11	28	1	40	2	0	0	0	0	1	2	8	8	1	0	4	0	0	4	18	4	1	5	28	21	18	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu336	0	0	1	0	15	46	0	1	0	0	0	0	0	0	0	44	0	2	0	3	2	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu310	0	0	3	4	0	25	16	53	20	0	2	4	2	6	0	7	14	2	0	14	1	0	30	0	32	20	24	12	13	38	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1094	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu140	0	0	0	64	0	0	0	78	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu796	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
