"","Morphospecies","Phylum","Class","Order.1","Family","Body_Length_Mean_mm","Body_Mass_Mean_mg","Body_Mass_SD_mg","Body_Mass_N"
"32","Cossoninae_sp_1","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,NA
"33","Cossoninae_sp_2","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,NA
"34","Cossoninae_sp_3","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,NA
"35","Cossoninae_sp_4","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,NA
"36","Cossoninae_sp_5","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,NA
"37","Cossoninae_sp_6","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,NA
"38","Curculioninae_sp_1","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,NA
"39","Curinus_coeruleus","Arthropoda","Insecta","Coleoptera","Coccinellidae",NA,NA,NA,NA
"40","Diocalandra_taitensis","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,NA
"41","Diomus_notescens","Arthropoda","Insecta","Coleoptera","Coccinellidae",NA,NA,NA,NA
"42","Halmus_chalybeus","Arthropoda","Insecta","Coleoptera","Coccinellidae",NA,NA,NA,NA
"43","Hypothenemus_areccae","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,NA
"44","Hypothenemus_pubescens","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA,NA,NA
